Number,Name,Langage
1001,Artist name 1001 - 2020-05-26 01:16:54.648,English
1002,Artist name 1002 - 2020-05-26 01:16:54.796,English
1003,Artist name 1003 - 2020-05-26 01:16:54.939,English
1004,Artist name 1004 - 2020-05-26 01:16:55.08,English
1005,Artist name 1005 - 2020-05-26 01:16:55.218,English
1006,Artist name 1006 - 2020-05-26 01:16:55.363,English
1007,Artist name 1007 - 2020-05-26 01:16:55.503,English
1008,Artist name 1008 - 2020-05-26 01:16:55.645,English
1009,Artist name 1009 - 2020-05-26 01:16:55.784,English
1010,Artist name 1010 - 2020-05-26 01:16:55.923,English
1011,Artist name 1011 - 2020-05-26 01:16:56.062,English
1012,Artist name 1012 - 2020-05-26 01:16:56.201,English
1013,Artist name 1013 - 2020-05-26 01:16:56.341,English
1014,Artist name 1014 - 2020-05-26 01:16:56.48,English
1015,Artist name 1015 - 2020-05-26 01:16:56.617,English
1016,Artist name 1016 - 2020-05-26 01:16:56.762,English
1017,Artist name 1017 - 2020-05-26 01:16:56.9,English
1018,Artist name 1018 - 2020-05-26 01:16:57.033,English
1019,Artist name 1019 - 2020-05-26 01:16:57.169,English
1020,Artist name 1020 - 2020-05-26 01:16:57.31,English
1021,Artist name 1021 - 2020-05-26 01:16:57.445,English
1022,Artist name 1022 - 2020-05-26 01:16:57.578,English
1023,Artist name 1023 - 2020-05-26 01:16:57.711,English
1024,Artist name 1024 - 2020-05-26 01:16:57.845,English
1025,Artist name 1025 - 2020-05-26 01:16:57.98,English
1026,Artist name 1026 - 2020-05-26 01:16:58.115,English
1027,Artist name 1027 - 2020-05-26 01:16:58.256,English
1028,Artist name 1028 - 2020-05-26 01:16:58.39,English
1029,Artist name 1029 - 2020-05-26 01:16:58.525,English
1030,Artist name 1030 - 2020-05-26 01:16:58.66,English
1031,Artist name 1031 - 2020-05-26 01:16:58.795,English
1032,Artist name 1032 - 2020-05-26 01:16:58.93,English
1033,Artist name 1033 - 2020-05-26 01:16:59.064,English
1034,Artist name 1034 - 2020-05-26 01:16:59.202,English
1035,Artist name 1035 - 2020-05-26 01:16:59.339,English
1036,Artist name 1036 - 2020-05-26 01:16:59.473,English
1037,Artist name 1037 - 2020-05-26 01:16:59.608,English
1038,Artist name 1038 - 2020-05-26 01:16:59.742,English
1039,Artist name 1039 - 2020-05-26 01:16:59.876,English
1040,Artist name 1040 - 2020-05-26 01:17:00.007,English
1041,Artist name 1041 - 2020-05-26 01:17:00.138,English
1042,Artist name 1042 - 2020-05-26 01:17:00.276,English
1043,Artist name 1043 - 2020-05-26 01:17:00.408,English
1044,Artist name 1044 - 2020-05-26 01:17:00.541,English
1045,Artist name 1045 - 2020-05-26 01:17:00.679,English
1046,Artist name 1046 - 2020-05-26 01:17:00.811,English
1047,Artist name 1047 - 2020-05-26 01:17:00.944,English
1048,Artist name 1048 - 2020-05-26 01:17:01.076,English
1049,Artist name 1049 - 2020-05-26 01:17:01.206,English
1050,Artist name 1050 - 2020-05-26 01:17:01.344,English
1051,Artist name 1051 - 2020-05-26 01:17:01.479,English
1052,Artist name 1052 - 2020-05-26 01:17:01.609,English
1053,Artist name 1053 - 2020-05-26 01:17:01.741,English
1054,Artist name 1054 - 2020-05-26 01:17:01.872,English
1055,Artist name 1055 - 2020-05-26 01:17:02.007,English
1056,Artist name 1056 - 2020-05-26 01:17:02.138,English
1057,Artist name 1057 - 2020-05-26 01:17:02.277,English
1058,Artist name 1058 - 2020-05-26 01:17:02.409,English
1059,Artist name 1059 - 2020-05-26 01:17:02.542,English
1060,Artist name 1060 - 2020-05-26 01:17:02.685,English
1061,Artist name 1061 - 2020-05-26 01:17:02.818,English
1062,Artist name 1062 - 2020-05-26 01:17:02.95,English
1063,Artist name 1063 - 2020-05-26 01:17:03.083,English
1064,Artist name 1064 - 2020-05-26 01:17:03.215,English
1065,Artist name 1065 - 2020-05-26 01:17:03.352,English
1066,Artist name 1066 - 2020-05-26 01:17:03.483,English
1067,Artist name 1067 - 2020-05-26 01:17:03.614,English
1068,Artist name 1068 - 2020-05-26 01:17:03.76,English
1069,Artist name 1069 - 2020-05-26 01:17:03.893,English
1070,Artist name 1070 - 2020-05-26 01:17:04.024,English
1071,Artist name 1071 - 2020-05-26 01:17:04.156,English
1072,Artist name 1072 - 2020-05-26 01:17:04.296,English
1073,Artist name 1073 - 2020-05-26 01:17:04.428,English
1074,Artist name 1074 - 2020-05-26 01:17:04.56,English
1075,Artist name 1075 - 2020-05-26 01:17:04.691,English
1076,Artist name 1076 - 2020-05-26 01:17:04.82,English
1077,Artist name 1077 - 2020-05-26 01:17:04.951,English
1078,Artist name 1078 - 2020-05-26 01:17:05.084,English
1079,Artist name 1079 - 2020-05-26 01:17:05.217,English
1080,Artist name 1080 - 2020-05-26 01:17:05.353,English
1081,Artist name 1081 - 2020-05-26 01:17:05.486,English
1082,Artist name 1082 - 2020-05-26 01:17:05.619,English
1083,Artist name 1083 - 2020-05-26 01:17:05.751,English
1084,Artist name 1084 - 2020-05-26 01:17:05.896,English
1085,Artist name 1085 - 2020-05-26 01:17:06.032,English
1086,Artist name 1086 - 2020-05-26 01:17:06.164,English
1087,Artist name 1087 - 2020-05-26 01:17:06.298,English
1088,Artist name 1088 - 2020-05-26 01:17:06.43,English
1089,Artist name 1089 - 2020-05-26 01:17:06.561,English
1090,Artist name 1090 - 2020-05-26 01:17:06.69,English
1091,Artist name 1091 - 2020-05-26 01:17:06.824,English
1092,Artist name 1092 - 2020-05-26 01:17:06.956,English
1093,Artist name 1093 - 2020-05-26 01:17:07.089,English
1094,Artist name 1094 - 2020-05-26 01:17:07.217,English
1095,Artist name 1095 - 2020-05-26 01:17:07.352,English
1096,Artist name 1096 - 2020-05-26 01:17:07.482,English
1097,Artist name 1097 - 2020-05-26 01:17:07.612,English
1098,Artist name 1098 - 2020-05-26 01:17:07.742,English
1099,Artist name 1099 - 2020-05-26 01:17:07.873,English
1100,Artist name 1100 - 2020-05-26 01:17:08.003,English
1101,Artist name 1101 - 2020-05-26 01:17:08.134,English
1102,Artist name 1102 - 2020-05-26 01:17:08.271,English
1103,Artist name 1103 - 2020-05-26 01:17:08.405,English
1104,Artist name 1104 - 2020-05-26 01:17:08.533,English
1105,Artist name 1105 - 2020-05-26 01:17:08.665,English
1106,Artist name 1106 - 2020-05-26 01:17:08.8,English
1107,Artist name 1107 - 2020-05-26 01:17:08.931,English
1108,Artist name 1108 - 2020-05-26 01:17:09.062,English
1109,Artist name 1109 - 2020-05-26 01:17:09.195,English
1110,Artist name 1110 - 2020-05-26 01:17:09.33,English
1111,Artist name 1111 - 2020-05-26 01:17:09.462,English
1112,Artist name 1112 - 2020-05-26 01:17:09.593,English
